"Constraint","TYPE","WHAT","Condition","LB","UB"
1,"Number","Item","",12,12
2,"Number","Item","SUBDOMAIN == ""Impact""",6,6
3,"Number","Item","SUBDOMAIN == ""Experience""",6,6
4,"Number","Item","SUBSUBDOMAIN == ""Mental""",1,2
5,"Number","Item","SUBSUBDOMAIN == ""Social""",1,2
6,"Number","Item","RATINGSCALE == ""Intensity""",6,6
7,"Number","Item","RATINGSCALE == ""Frequency""",6,6
8,"Number","Item","STRATA == 1",4,4
9,"Number","Item","STRATA == 2",4,4
10,"Number","Item","STRATA == 3",4,4
11,"Number","Item","!is.na(FACIT)",1,2
12,"Order","Item","STRATA",NA,NA
13,"Enemy","Item","ID %in% c(""FATIMP1"", ""FATIMP47"")",NA,NA
14,"Enemy","Item","ID %in% c(""FATIMP2"", ""FATIMP6"")",NA,NA
15,"Enemy","Item","ID %in% c(""FATIMP2"", ""FATIMP11"")",NA,NA
16,"Enemy","Item","ID %in% c(""FATIMP2"", ""FATIMP14"")",NA,NA
17,"Enemy","Item","ID %in% c(""FATIMP2"", ""FATIMP30"")",NA,NA
18,"Enemy","Item","ID %in% c(""FATIMP2"", ""FATIMP35"")",NA,NA
19,"Enemy","Item","ID %in% c(""FATIMP2"", ""FATIMP38"")",NA,NA
20,"Enemy","Item","ID %in% c(""FATIMP2"", ""FATIMP43"")",NA,NA
21,"Enemy","Item","ID %in% c(""FATIMP2"", ""FATIMP44"")",NA,NA
22,"Enemy","Item","ID %in% c(""FATIMP2"", ""FATIMP52"")",NA,NA
23,"Enemy","Item","ID %in% c(""FATIMP4"", ""FATIMP15"")",NA,NA
24,"Enemy","Item","ID %in% c(""FATIMP4"", ""FATIMP18"")",NA,NA
25,"Enemy","Item","ID %in% c(""FATIMP4"", ""FATIMP34"")",NA,NA
26,"Enemy","Item","ID %in% c(""FATIMP4"", ""FATIMP48"")",NA,NA
27,"Enemy","Item","ID %in% c(""FATIMP4"", ""FATIMP56"")",NA,NA
28,"Enemy","Item","ID %in% c(""FATIMP4"", ""AN16"")",NA,NA
29,"Enemy","Item","ID %in% c(""FATIMP5"", ""FATIMP33"")",NA,NA
30,"Enemy","Item","ID %in% c(""FATIMP6"", ""FATIMP11"")",NA,NA
31,"Enemy","Item","ID %in% c(""FATIMP6"", ""FATIMP14"")",NA,NA
32,"Enemy","Item","ID %in% c(""FATIMP6"", ""FATIMP17"")",NA,NA
33,"Enemy","Item","ID %in% c(""FATIMP6"", ""FATIMP20"")",NA,NA
34,"Enemy","Item","ID %in% c(""FATIMP6"", ""FATIMP22"")",NA,NA
35,"Enemy","Item","ID %in% c(""FATIMP6"", ""FATIMP30"")",NA,NA
36,"Enemy","Item","ID %in% c(""FATIMP6"", ""FATIMP35"")",NA,NA
37,"Enemy","Item","ID %in% c(""FATIMP6"", ""FATIMP38"")",NA,NA
38,"Enemy","Item","ID %in% c(""FATIMP6"", ""FATIMP44"")",NA,NA
39,"Enemy","Item","ID %in% c(""FATIMP11"", ""FATIMP14"")",NA,NA
40,"Enemy","Item","ID %in% c(""FATIMP11"", ""FATIMP20"")",NA,NA
41,"Enemy","Item","ID %in% c(""FATIMP11"", ""FATIMP30"")",NA,NA
42,"Enemy","Item","ID %in% c(""FATIMP11"", ""FATIMP44"")",NA,NA
43,"Enemy","Item","ID %in% c(""FATIMP14"", ""FATIMP17"")",NA,NA
44,"Enemy","Item","ID %in% c(""FATIMP14"", ""FATIMP22"")",NA,NA
45,"Enemy","Item","ID %in% c(""FATIMP14"", ""FATIMP30"")",NA,NA
46,"Enemy","Item","ID %in% c(""FATIMP14"", ""FATIMP35"")",NA,NA
47,"Enemy","Item","ID %in% c(""FATIMP14"", ""FATIMP43"")",NA,NA
48,"Enemy","Item","ID %in% c(""FATIMP15"", ""FATIMP45"")",NA,NA
49,"Enemy","Item","ID %in% c(""FATIMP17"", ""FATIMP22"")",NA,NA
50,"Enemy","Item","ID %in% c(""FATIMP17"", ""FATIMP30"")",NA,NA
51,"Enemy","Item","ID %in% c(""FATIMP17"", ""FATIMP35"")",NA,NA
52,"Enemy","Item","ID %in% c(""FATIMP17"", ""FATIMP38"")",NA,NA
53,"Enemy","Item","ID %in% c(""FATIMP18"", ""FATIMP34"")",NA,NA
54,"Enemy","Item","ID %in% c(""FATIMP18"", ""FATIMP48"")",NA,NA
55,"Enemy","Item","ID %in% c(""FATIMP18"", ""FATIMP56"")",NA,NA
56,"Enemy","Item","ID %in% c(""FATIMP18"", ""AN16"")",NA,NA
57,"Enemy","Item","ID %in% c(""FATIMP20"", ""FATIMP30"")",NA,NA
58,"Enemy","Item","ID %in% c(""FATIMP22"", ""FATIMP30"")",NA,NA
59,"Enemy","Item","ID %in% c(""FATIMP22"", ""FATIMP35"")",NA,NA
60,"Enemy","Item","ID %in% c(""FATIMP22"", ""FATIMP38"")",NA,NA
61,"Enemy","Item","ID %in% c(""FATIMP25"", ""FATIMP28"")",NA,NA
62,"Enemy","Item","ID %in% c(""FATIMP25"", ""FATIMP30"")",NA,NA
63,"Enemy","Item","ID %in% c(""FATIMP25"", ""FATIMP38"")",NA,NA
64,"Enemy","Item","ID %in% c(""FATIMP26"", ""FATIMP56"")",NA,NA
65,"Enemy","Item","ID %in% c(""FATIMP27"", ""FATIMP36"")",NA,NA
66,"Enemy","Item","ID %in% c(""FATIMP30"", ""FATIMP35"")",NA,NA
67,"Enemy","Item","ID %in% c(""FATIMP30"", ""FATIMP38"")",NA,NA
68,"Enemy","Item","ID %in% c(""FATIMP30"", ""FATIMP43"")",NA,NA
69,"Enemy","Item","ID %in% c(""FATIMP30"", ""FATIMP44"")",NA,NA
70,"Enemy","Item","ID %in% c(""FATIMP34"", ""FATIMP48"")",NA,NA
71,"Enemy","Item","ID %in% c(""FATIMP34"", ""AN16"")",NA,NA
72,"Enemy","Item","ID %in% c(""FATIMP35"", ""FATIMP38"")",NA,NA
73,"Enemy","Item","ID %in% c(""FATIMP35"", ""FATIMP43"")",NA,NA
74,"Enemy","Item","ID %in% c(""FATIMP35"", ""FATIMP44"")",NA,NA
75,"Enemy","Item","ID %in% c(""FATIMP35"", ""FATIMP52"")",NA,NA
76,"Enemy","Item","ID %in% c(""FATIMP38"", ""FATIMP43"")",NA,NA
77,"Enemy","Item","ID %in% c(""FATIMP38"", ""FATIMP44"")",NA,NA
78,"Enemy","Item","ID %in% c(""FATIMP38"", ""FATIMP52"")",NA,NA
79,"Enemy","Item","ID %in% c(""FATIMP40"", ""FATEXP31"")",NA,NA
80,"Enemy","Item","ID %in% c(""FATIMP40"", ""FATEXP44"")",NA,NA
81,"Enemy","Item","ID %in% c(""FATIMP40"", ""FATEXP54"")",NA,NA
82,"Enemy","Item","ID %in% c(""FATIMP43"", ""FATIMP44"")",NA,NA
83,"Enemy","Item","ID %in% c(""FATIMP43"", ""FATIMP52"")",NA,NA
84,"Enemy","Item","ID %in% c(""FATIMP44"", ""FATIMP52"")",NA,NA
85,"Enemy","Item","ID %in% c(""FATIMP45"", ""FATIMP48"")",NA,NA
86,"Enemy","Item","ID %in% c(""FATIMP47"", ""FATIMP55"")",NA,NA
87,"Enemy","Item","ID %in% c(""FATIMP48"", ""AN16"")",NA,NA
88,"Enemy","Item","ID %in% c(""FATEXP6"", ""FATEXP12"")",NA,NA
89,"Enemy","Item","ID %in% c(""FATEXP13"", ""FATEXP36"")",NA,NA
90,"Enemy","Item","ID %in% c(""FATEXP13"", ""FATEXP41"")",NA,NA
91,"Enemy","Item","ID %in% c(""FATEXP13"", ""FATEXP43"")",NA,NA
92,"Enemy","Item","ID %in% c(""FATEXP13"", ""FATEXP52"")",NA,NA
93,"Enemy","Item","ID %in% c(""FATEXP19"", ""FATEXP29"")",NA,NA
94,"Enemy","Item","ID %in% c(""FATEXP21"", ""FATEXP38"")",NA,NA
95,"Enemy","Item","ID %in% c(""FATEXP24"", ""FATEXP54"")",NA,NA
96,"Enemy","Item","ID %in% c(""FATEXP31"", ""FATEXP44"")",NA,NA
97,"Enemy","Item","ID %in% c(""FATEXP31"", ""FATEXP54"")",NA,NA
98,"Enemy","Item","ID %in% c(""FATEXP31"", ""AN5"")",NA,NA
99,"Enemy","Item","ID %in% c(""FATEXP34"", ""FATEXP40"")",NA,NA
100,"Enemy","Item","ID %in% c(""FATEXP36"", ""FATEXP43"")",NA,NA
101,"Enemy","Item","ID %in% c(""FATEXP36"", ""FATEXP52"")",NA,NA
102,"Enemy","Item","ID %in% c(""FATEXP40"", ""FATEXP43"")",NA,NA
103,"Enemy","Item","ID %in% c(""FATEXP42"", ""FATEXP44"")",NA,NA
104,"Enemy","Item","ID %in% c(""FATEXP43"", ""FATEXP52"")",NA,NA
105,"Enemy","Item","ID %in% c(""FATEXP44"", ""FATEXP54"")",NA,NA
106,"Enemy","Item","ID %in% c(""FATEXP44"", ""AN5"")",NA,NA
107,"Enemy","Item","ID %in% c(""FATEXP54"", ""AN5"")",NA,NA
108,"Enemy","Item","ID %in% c(""HI7"", ""AN2"")",NA,NA
109,"Enemy","Item","ID %in% c(""HI12"", ""AN1"")",NA,NA
110,"Enemy","Item","ID %in% c(""AN3"", ""AN4"")",NA,NA
111,"Enemy","Item","ID %in% c(""AN5"", ""AN7"")",NA,NA
