ID,SubDomain,SubSubDomain,Facit,RatingScale,Strata
FATIMP1,Impact,,,Intensity,3
FATIMP2,Impact,Mental,,Intensity,1
FATIMP3,Impact,,,Frequency,3
FATIMP4,Impact,Social,,Frequency,3
FATIMP5,Impact,,,Frequency,2
FATIMP6,Impact,Mental,,Frequency,2
FATIMP8,Impact,,,Frequency,1
FATIMP9,Impact,,,Frequency,2
FATIMP10,Impact,,,Frequency,3
FATIMP11,Impact,Mental,,Frequency,1
FATIMP13,Impact,,,Frequency,2
FATIMP14,Impact,Mental,,Frequency,2
FATIMP15,Impact,Social,,Frequency,3
FATIMP16,Impact,,,Frequency,3
FATIMP17,Impact,Mental,,Frequency,2
FATIMP18,Impact,Social,,Frequency,3
FATIMP19,Impact,,,Frequency,2
FATIMP20,Impact,Mental,,Frequency,2
FATIMP21,Impact,,,Frequency,1
FATIMP22,Impact,Mental,,Frequency,2
FATIMP24,Impact,,,Frequency,3
FATIMP25,Impact,Mental,,Frequency,1
FATIMP26,Impact,,,Frequency,2
FATIMP27,Impact,,,Intensity,3
FATIMP28,Impact,Mental,,Intensity,1
FATIMP29,Impact,,,Frequency,2
FATIMP30,Impact,Mental,,Frequency,2
FATIMP33,Impact,,,Frequency,2
FATIMP34,Impact,Social,,Intensity,2
FATIMP35,Impact,Mental,,Intensity,2
FATIMP36,Impact,,,Intensity,3
FATIMP37,Impact,,,Intensity,3
FATIMP38,Impact,Mental,,Intensity,1
FATIMP40,Impact,,,Frequency,1
FATIMP42,Impact,,,Frequency,2
FATIMP43,Impact,Mental,,Intensity,1
FATIMP44,Impact,Mental,,Intensity,1
FATIMP45,Impact,Social,,Intensity,2
FATIMP47,Impact,,,Intensity,3
FATIMP48,Impact,Social,,Intensity,3
FATIMP49,Impact,,,Intensity,3
FATIMP50,Impact,,,Intensity,3
FATIMP51,Impact,,,Intensity,3
FATIMP52,Impact,Mental,,Intensity,2
FATIMP53,Impact,,,Frequency,1
FATIMP55,Impact,,,Frequency,2
FATIMP56,Impact,Social,,Frequency,1
FATEXP2,Experience,,,Frequency,2
FATEXP5,Experience,,,Frequency,1
FATEXP6,Experience,,,Frequency,1
FATEXP7,Experience,,,Frequency,2
FATEXP12,Experience,,,Intensity,2
FATEXP13,Experience,,,Intensity,2
FATEXP16,Experience,,,Frequency,1
FATEXP18,Experience,,,Frequency,2
FATEXP19,Experience,,,Frequency,3
FATEXP20,Experience,,,Frequency,2
FATEXP21,Experience,,,Intensity,1
FATEXP22,Experience,,,Frequency,3
FATEXP24,Experience,,,Frequency,1
FATEXP26,Experience,,,Frequency,2
FATEXP28,Experience,,,Frequency,2
FATEXP29,Experience,,,Frequency,2
FATEXP31,Experience,,,Frequency,1
FATEXP34,Experience,,,Intensity,3
FATEXP35,Experience,,,Intensity,3
FATEXP36,Experience,,,Intensity,3
FATEXP38,Experience,,,Intensity,1
FATEXP40,Experience,,,Intensity,3
FATEXP41,Experience,,,Intensity,3
FATEXP42,Experience,,,Intensity,1
FATEXP43,Experience,,,Intensity,3
FATEXP44,Experience,,,Intensity,1
FATEXP45,Experience,,,Intensity,2
FATEXP46,Experience,,,Frequency,1
FATEXP48,Experience,,,Frequency,2
FATEXP49,Experience,,,Frequency,1
FATEXP50,Experience,,,Intensity,1
FATEXP51,Experience,,,Intensity,3
FATEXP52,Experience,,,Intensity,2
FATEXP54,Experience,,,Frequency,1
FATEXP56,Experience,,,Intensity,3
HI7,Experience,,1,Intensity,3
HI12,Experience,,2,Intensity,1
AN1,Experience,,3,Intensity,2
AN2,Experience,,4,Intensity,2
AN3,Impact,,5,Intensity,3
AN4,Impact,,6,Intensity,2
AN8,Impact,,9,Intensity,1
AN12,Impact,,10,Intensity,1
AN14,Impact,,11,Intensity,1
AN15,Impact,,12,Intensity,3
AN16,Impact,Social,13,Intensity,3
AN5,Experience,,7,Intensity,1
AN7,Impact,,8,Intensity,1