ID,MODEL,PAR1,PAR2,PAR3
1,"3PL",0.68969,-1.79901,0.25464
2,"3PL",0.561527,-3.79792,0.25944
3,"3PL",0.678198,-0.9196,0.19658
4,"3PL",1.046027,-0.66988,0.17662
5,"3PL",0.852142,-0.57913,0.2715
6,"3PL",0.910282,-0.90542,0.23884
7,"3PL",1.04227,-0.71519,0.28127
8,"3PL",1.565853,-0.87553,0.23831
9,"3PL",1.417817,-0.74911,0.23197
10,"3PL",1.311873,-0.44855,0.16058
11,"3PL",1.178423,0.00974,0.27351
12,"3PL",1.108264,-1.91507,0.21105
13,"3PL",0.806157,-1.33965,0.22272
14,"3PL",1.528657,-0.98712,0.17047
15,"3PL",1.226431,-1.03738,0.14644
16,"3PL",1.248769,-0.73328,0.17251
17,"3PL",0.928999,1.31126,0.12765
18,"3PL",0.657798,-1.83162,0.22712
19,"3PL",0.899334,-0.49484,0.23238
20,"3PL",1.423444,-0.23682,0.18461
21,"3PL",1.190153,-0.39487,0.19594
22,"3PL",0.612884,0.01138,0.21204
23,"3PL",0.943619,0.127,0.27359
24,"3PL",1.008355,1.06775,0.16214
25,"3PL",0.630972,0.61534,0.18582
26,"3PL",0.852261,-0.14182,0.22834
27,"3PL",1.549856,1.01747,0.19261
28,"3PL",1.456424,1.00722,0.32238
29,"3PL",1.316463,2.04868,0.1578
30,"3PL",1.36527,1.34352,0.1322
31,"3PL",0.877421,0.04188,0.27574
32,"3PL",1.077664,0.73164,0.32725
33,"3PL",1.099305,1.31244,0.19839
34,"3PL",1.280457,0.95127,0.24188
35,"3PL",1.326816,1.28155,0.15358
36,"3PL",0.97495,2.061,0.43109
37,"3PL",0.853485,1.5808,0.18446
38,"3PL",1.462051,1.89864,0.25681
39,"3PL",1.340637,2.1547,0.2079
40,"3PL",1.474257,2.33353,0.22953
41,"3PL",1.233486,-1.7193,0.18267
42,"3PL",1.347896,-1.90566,0.21374
43,"3PL",1.353914,-1.19615,0.16206
44,"3PL",0.958001,-0.53061,0.28362
45,"3PL",1.032954,0.15873,0.21054
46,"3PL",1.225649,1.07985,0.21284
47,"3PL",0.778617,-2.00409,0.25169
48,"3PL",0.912883,-1.13011,0.23907
49,"3PL",0.472345,-1.75466,0.20388
50,"3PL",1.059236,0.41581,0.24423
51,"3PL",1.720451,0.03909,0.18953
52,"3PL",0.986153,1.13265,0.20416
53,"3PL",1.141125,-2.23882,0.15618
54,"3PL",1.683374,-1.87404,0.16467
55,"3PL",0.348789,-0.90783,0.25191
56,"3PL",0.993089,0.57242,0.21739
57,"3PL",1.663467,0.63108,0.24947
58,"3PL",1.335724,1.75722,0.34746
59,"3PL",1.494028,-0.37638,0.3213
60,"3PL",1.232704,0.11297,0.3273
61,"3PL",1.464737,-0.32329,0.1632
62,"3PL",1.943678,0.11978,0.31133
63,"3PL",1.185614,0.38537,0.11507
64,"3PL",1.349086,-0.96859,0.1528
65,"3PL",1.562606,-1.67085,0.18899
66,"3PL",1.4501,-0.6935,0.08842
67,"3PL",1.400953,-1.23554,0.19014
68,"3PL",1.235033,1.08686,0.20233
69,"3PL",1.512235,0.89623,0.32772
70,"3PL",1.20734,0.39492,0.21461
71,"3PL",2.13486,1.21628,0.32724
72,"3PL",2.251412,1.478,0.34522
73,"3PL",1.542036,1.49666,0.34548
74,"3PL",2.139535,1.71594,0.26017
75,"3PL",2.184789,2.20772,0.15228
76,"3PL",1.122068,0.51639,0.2315
77,"3PL",1.38346,0.9682,0.35548
78,"3PL",1.77072,0.92286,0.30517
79,"3PL",2.029749,1.18553,0.24168
80,"3PL",1.55023,1.61204,0.23927
81,"3PL",1.187705,-1.12226,0.23086
82,"3PL",1.251489,-1.05748,0.17107
83,"3PL",1.558832,-0.70011,0.15524
84,"3PL",0.754256,-0.80092,0.16269
85,"3PL",1.475872,0.19649,0.24403
86,"3PL",1.285863,-1.89794,0.19345
87,"3PL",0.713541,-1.8569,0.21503
88,"3PL",0.685729,0.64999,0.30021
89,"3PL",1.249483,-0.49891,0.1763
90,"3PL",0.800411,-0.62267,0.17006
91,"3PL",1.184407,-0.57656,0.12904
92,"3PL",0.570843,-1.56966,0.19746
93,"3PL",1.116322,-0.74776,0.20531
94,"3PL",1.122357,-0.70543,0.23848
95,"3PL",1.288719,0.06576,0.24102
96,"3PL",1.985277,0.56979,0.3073
97,"3PL",1.393541,1.71803,0.19419
98,"3PL",1.313641,-1.79474,0.18033
99,"3PL",1.360799,-0.96656,0.15788
100,"3PL",1.139153,-0.76484,0.16265
101,"3PL",1.713906,0.6913,0.18987
102,"3PL",1.204569,1.98232,0.2137
103,"3PL",1.306229,-1.48011,0.23013
104,"3PL",1.085144,0.61765,0.2865
105,"3PL",1.526039,0.00406,0.25043
106,"3PL",1.196205,0.22282,0.21943
107,"3PL",1.407668,0.73014,0.1522
108,"3PL",1.549397,0.67948,0.31515
109,"3PL",2.110414,0.69195,0.33588
110,"3PL",2.838592,0.81838,0.19336
111,"3PL",0.699499,1.73494,0.2889
112,"3PL",2.14574,0.82004,0.19452
113,"3PL",2.531929,1.22914,0.16589
114,"3PL",0.508623,3.32344,0.25421
115,"3PL",1.224476,1.04329,0.15815
116,"3PL",1.455693,0.78868,0.14692
117,"3PL",1.545691,1.03775,0.31008
118,"3PL",1.416389,1.54279,0.20721
119,"3PL",1.818133,1.0078,0.2512
120,"3PL",1.111324,2.2113,0.16622
121,"3PL",1.25919,-0.48223,0.25421
122,"3PL",1.892627,-0.92399,0.22273
123,"3PL",1.001487,-0.58135,0.17305
124,"3PL",1.393014,-0.64738,0.18838
125,"3PL",0.690251,0.61458,0.21116
126,"3PL",0.748085,-2.14979,0.17068
127,"3PL",1.109318,-1.15075,0.20791
128,"3PL",1.10313,-1.62421,0.16619
129,"3PL",1.083325,-1.63581,0.15211
130,"3PL",1.339226,0.29165,0.19514
131,"3PL",0.821032,0.70346,0.16194
132,"3PL",1.017654,-0.99609,0.09855
133,"3PL",1.258697,-0.72835,0.23
134,"3PL",0.899844,-1.18506,0.13873
135,"3PL",1.114894,-0.8381,0.08011
136,"3PL",1.330658,-0.37079,0.09592
137,"3PL",1.041539,0.21238,0.2399
138,"3PL",1.217438,-0.48024,0.07563
139,"3PL",0.93993,-1.50126,0.1393
140,"3PL",0.769828,-0.31252,0.31358
141,"3PL",1.159995,-0.41403,0.15278
142,"3PL",1.442348,-0.03365,0.09254
143,"3PL",1.153467,1.24763,0.14245
144,"3PL",1.13628,-1.20631,0.14745
145,"3PL",1.173323,-0.71476,0.14286
146,"3PL",1.071527,0.78029,0.22353
147,"3PL",1.529116,0.29339,0.1209
148,"3PL",1.650037,1.80137,0.23849
149,"3PL",0.798881,-0.84859,0.22632
150,"3PL",0.848963,0.41169,0.23396
151,"3PL",0.998716,0.27525,0.26982
152,"3PL",0.857939,1.24623,0.14441
153,"3PL",1.188759,1.83397,0.26657
154,"3PL",2.022524,1.96612,0.20555
155,"3PL",1.518185,0.45636,0.33562
156,"3PL",1.779883,1.15811,0.31937
157,"3PL",1.613062,1.69176,0.2158
158,"3PL",1.748042,1.7932,0.20205
159,"3PL",2.204424,1.76493,0.15791
160,"3PL",1.60429,1.66151,0.26828
161,"3PL",1.030523,-1.92112,0.15148
162,"3PL",0.763368,-1.52526,0.22999
163,"3PL",1.682099,-1.04341,0.11676
164,"3PL",1.650938,-0.32512,0.20024
165,"3PL",1.589347,-0.63037,0.12734
166,"3PL",0.732309,-1.60132,0.1655
167,"3PL",0.845682,-1.16981,0.11298
168,"3PL",1.084821,-1.38456,0.1243
169,"3PL",0.843965,-0.90675,0.14442
170,"3PL",1.36391,-0.82081,0.06312
171,"3PL",0.932603,1.81001,0.246
172,"3PL",1.109726,-0.35232,0.29463
173,"3PL",1.140853,-0.84496,0.12021
174,"3PL",0.978316,0.43165,0.19512
175,"3PL",1.220974,-0.54926,0.10752
176,"3PL",1.406274,0.9413,0.32304
177,"3PL",1.030166,2.32576,0.22054
178,"3PL",1.146973,-1.24805,0.15387
179,"3PL",1.152243,-0.83376,0.12603
180,"3PL",1.493297,-0.73073,0.14529
181,"3PL",1.275833,-0.63725,0.07528
182,"3PL",0.619004,0.81368,0.07869
183,"3PL",1.766946,2.21841,0.33092
184,"3PL",1.389461,-0.91307,0.12572
185,"3PL",1.101838,0.15028,0.24355
186,"3PL",1.713855,0.39913,0.19257
187,"3PL",1.747872,0.72057,0.12154
188,"3PL",1.416491,1.98514,0.20887
189,"3PL",1.470007,0.69452,0.27531
190,"3PL",1.113738,0.91216,0.21098
191,"3PL",1.365321,1.21221,0.13255
192,"3PL",2.077774,0.99018,0.2679
193,"3PL",2.015367,1.18291,0.35054
194,"3PL",2.017339,0.862,0.30689
195,"3PL",1.856961,1.54858,0.28457
196,"3PL",1.790372,0.57826,0.37571
197,"3PL",1.522503,0.73888,0.2091
198,"3PL",1.760639,1.0439,0.226
199,"3PL",1.81696,1.80246,0.34537
200,"3PL",1.488316,2.02409,0.18887
201,"3PL",0.569347,-2.00944,0.1926
202,"3PL",0.840531,0.05967,0.3459
203,"3PL",0.982668,-1.36409,0.1627
204,"3PL",0.840361,-1.04467,0.16205
205,"3PL",0.918204,-0.52066,0.15442
206,"3PL",1.116356,-0.19698,0.19099
207,"3PL",1.070915,-1.0356,0.2193
208,"3PL",1.184985,-0.8372,0.10208
209,"3PL",0.795073,-0.03567,0.16295
210,"3PL",0.779161,0.45242,0.07711
211,"3PL",1.013778,1.08256,0.21741
212,"3PL",1.286849,1.27269,0.24175
213,"3PL",1.241051,-1.58536,0.1078
214,"3PL",0.622659,-2.02884,0.13666
215,"3PL",1.806471,-1.36226,0.14873
216,"3PL",1.009001,-0.0849,0.11417
217,"3PL",1.677866,1.37935,0.15808
218,"3PL",1.44262,-0.47914,0.16831
219,"3PL",1.201458,-0.69384,0.15377
220,"3PL",1.736958,-0.36057,0.15653
221,"3PL",1.434307,-0.23902,0.12175
222,"3PL",1.179375,-0.16108,0.08861
223,"3PL",1.399389,-0.03201,0.07365
224,"3PL",1.32532,0.17611,0.1324
225,"3PL",0.908446,-1.68559,0.18435
226,"3PL",0.915331,-0.03893,0.19009
227,"3PL",0.850918,-0.13862,0.13709
228,"3PL",1.280644,-0.02391,0.21906
229,"3PL",2.112437,0.75704,0.14877
230,"3PL",1.26276,-0.07749,0.27615
231,"3PL",1.300925,0.39712,0.28549
232,"3PL",2.111434,0.64032,0.26686
233,"3PL",1.410983,1.02581,0.2892
234,"3PL",1.589075,0.94743,0.26908
235,"3PL",1.477283,1.07894,0.24139
236,"3PL",1.503191,1.03998,0.29632
237,"3PL",1.339158,0.37197,0.30736
238,"3PL",1.588276,0.61503,0.33303
239,"3PL",1.450644,2.50673,0.14667
240,"3PL",2.000458,1.6789,0.20112
241,"3PL",1.481006,-1.46228,0.18789
242,"3PL",1.138388,-1.35171,0.12559
243,"3PL",1.182078,-0.43175,0.12997
244,"3PL",1.36255,-0.28665,0.34392
245,"3PL",1.390345,-0.17298,0.20922
246,"3PL",0.756466,-0.69882,0.17835
247,"3PL",1.407039,-0.84096,0.29136
248,"3PL",1.614983,-1.54281,0.17008
249,"3PL",1.166081,0.53332,0.21175
250,"3PL",2.11684,0.74846,0.11249
251,"3PL",1.036065,-1.66546,0.12005
252,"3PL",1.245539,-1.95805,0.17389
253,"3PL",1.310938,-0.63874,0.26515
254,"3PL",1.10993,0.13034,0.30057
255,"3PL",2.116245,0.68219,0.30317
256,"3PL",0.933453,1.2427,0.18816
257,"3PL",1.986127,0.85212,0.08998
258,"3PL",1.228182,-1.08034,0.19771
259,"3PL",1.312638,-1.01247,0.07612
260,"3PL",0.979285,-1.08422,0.10531
261,"3PL",1.424855,-0.44055,0.16147
262,"3PL",0.799374,-0.51331,0.08885
263,"3PL",1.339872,1.13454,0.11296
264,"3PL",1.121388,-1.38596,0.10847
265,"3PL",0.816782,0.68817,0.12846
266,"3PL",1.42324,0.70514,0.291
267,"3PL",1.691228,0.74456,0.32948
268,"3PL",1.009273,-0.22937,0.15548
269,"3PL",1.211862,0.75412,0.23972
270,"3PL",0.973539,-0.98156,0.17672
271,"3PL",1.09055,-0.20158,0.29387
272,"3PL",1.555024,1.29632,0.28967
273,"3PL",1.488979,0.52138,0.22944
274,"3PL",2.448238,1.10834,0.30496
275,"3PL",2.609619,1.29194,0.14121
276,"3PL",1.122799,0.8436,0.17514
277,"3PL",1.001436,0.83931,0.27386
278,"3PL",1.451239,0.92953,0.16605
279,"3PL",1.355019,1.70295,0.26149
280,"3PL",1.94225,1.91429,0.17237
281,"3PL",1.097673,-2.84338,0.18167
282,"3PL",1.130925,-1.94006,0.15129
283,"3PL",1.219835,-0.54136,0.25361
284,"3PL",1.264205,-0.6379,0.13969
285,"3PL",1.224935,-0.61831,0.10242
286,"3PL",1.098319,1.39328,0.23837
287,"3PL",1.163582,-1.85882,0.13937
288,"3PL",0.785774,-1.96446,0.14271
289,"3PL",1.017382,-0.56125,0.13689
290,"3PL",1.022023,1.20931,0.1455
291,"3PL",2.046477,1.48728,0.16897
292,"3PL",1.159417,0.42743,0.22367
293,"3PL",1.336132,0.15328,0.14912
294,"3PL",1.133917,-0.93618,0.08189
295,"3PL",1.256997,-0.65116,0.17241
296,"3PL",1.011772,0.43698,0.17486
297,"3PL",1.331049,0.85654,0.10683
298,"3PL",1.422492,-0.5225,0.31294
299,"3PL",1.212168,-0.21575,0.22999
300,"3PL",1.468035,0.07482,0.20139
301,"3PL",0.971176,0.01194,0.08244
302,"3PL",1.31121,1.00366,0.13888
303,"3PL",0.816221,-0.61579,0.15413
304,"3PL",0.579768,-0.63354,0.12928
305,"3PL",0.78455,0.63161,0.27378
306,"3PL",1.410082,1.25821,0.13312
307,"3PL",1.625625,2.0429,0.16672
308,"3PL",1.115829,-0.33629,0.26215
309,"3PL",1.409929,0.15346,0.25266
310,"3PL",1.590758,0.47187,0.12873
311,"3PL",1.735955,0.81692,0.29106
312,"3PL",1.125434,0.14734,0.19417
313,"3PL",2.198049,1.20993,0.14791
314,"3PL",1.585862,1.83036,0.26931
315,"3PL",1.320254,0.19439,0.4475
316,"3PL",1.262556,1.15348,0.26123
317,"3PL",1.831087,1.42054,0.22843
318,"3PL",2.533986,1.85735,0.28282
319,"3PL",1.347352,1.70241,0.13021
320,"3PL",1.647436,1.58671,0.171
